n_inventario,autore,titolo,casa_editrice,anno,isbn,generi,ripetuti,checked_isbn,isbn_type,authenticity,matched_title
174,Fëdor Dostoevskij,I fratelli Karamazov,Mondadori,1969,-,"Narrativa, Classico",FALSE,9788858608746,ISBN-13,found-isbn-by-title,
175,Fëdor Dostoevskij,I fratelli Karamazov,Mondadori,1969,-,"Narrativa, Classico",FALSE,9788858608746,ISBN-13,found-isbn-by-title,
176,Fëdor Dostoevskij,I fratelli Karamazov,Mondadori,1969,-,"Narrativa, Classico",FALSE,9788858608746,ISBN-13,found-isbn-by-title,
177,Oscar Wilde,Il ritratto di Dorian Gray,Sansoni,1965,-,"Fantasy, Gotico, Classico",FALSE,8807820110,ISBN-10,found-isbn-by-title,
182,Dacia Maraini,Donna in guerra,Einaudi,1973,9788806385101,"Narrativa, Romanzo",FALSE,9788858626276,ISBN-13,found-isbn-by-title,ISBN not found in the database
184,Peter Weiss,Colloquio dei tre viandanti,Einaudi,1969,-,"Narrativa, Romanzo",FALSE,,invalid,not-found (No valid ISBN found in title results),
190,Grazia Deledda,Canne al vento,Famiglia Cristiana,1997,-,"Narrativa, Classico",FALSE,1981502300,ISBN-10,found-isbn-by-title,
200,W. Sheridan Allen,Come si diventa nazisti,Einaudi,1968,-,"Saggistica, Storia",FALSE,8806190679,ISBN-10,found-isbn-by-title,
202,John Steinbeck,Uomini e topi,Bompiani,1974,9788845209673,"Narrativa, Classico",FALSE,9782808689908,ISBN-13,corrected-isbn-by-title,Dizionario Bompiani delle opere e dei personaggi
203,Roberto Battaglia,Storia della Resistenza italiana,Einaudi,1964,-,"Saggistica, Storia",FALSE,9788858140512,ISBN-13,found-isbn-by-title,
204,William Shakespeare,Amleto,Einaudi,1965,-,"Poesia, Teatro",FALSE,9788854133549,ISBN-13,found-isbn-by-title,
205,Malvezzi-Pirelli,Lettere di condannati a morte...,Einaudi,1967,-,"Biografia, Memorie, Storia",FALSE,9788858425800,ISBN-13,found-isbn-by-title,
214,Leonardo Sciascia,A ciascuno il suo,Adelphi,1995,9788845907219,"Giallo, Thriller",FALSE,9782390802747,ISBN-13,found-isbn-by-title,
248,Luigi Pirandello,Il berretto a sonagli...,Mondadori,1969,-,"Poesia, Teatro",FALSE,1508444919,ISBN-10,found-isbn-by-title,
260,Italo Calvino,L'entrata in guerra,Einaudi,1974,9788806380625,"Narrativa, Racconti, Romanzo Storico",FALSE,8815111077,ISBN-10,found-isbn-by-title,ISBN not found in the database
262,John Steinbeck,Uomini e topi,Bompiani,1995,9788845248436,"Narrativa, Classico",FALSE,9782808689908,ISBN-13,corrected-isbn-by-title,Normal Girl. Una ragazza come le altre
263,Jack Kerouac,I sotterranei,Feltrinelli,1965,-,"Narrativa, Biografia, Memorie",FALSE,9788852022838,ISBN-13,found-isbn-by-title,
271,Elio Vittorini,Conversazione in Sicilia,Einaudi,1966,-,"Narrativa, Classico",FALSE,,invalid,not-found (No valid ISBN found in title results),
281,Elsa Morante,La storia,Einaudi,1974,9788806397272,Romanzo Storico,FALSE,9788806397272,ISBN-13,ok,La storia
23,Rondolino,Dizionario del cinema italiano 1945-1969,Einaudi,1969,-,"Saggistica, Manuali",FALSE,887742429X,ISBN-10,found-isbn-by-title,
292,Luigi Pirandello,Dal naso al cielo,Mondadori,1973,-,"Narrativa, Racconti",FALSE,1520526040,ISBN-10,found-isbn-by-title,
293,Giovanni Verga,"Una peccatrice, Storia di una capinera...",Mondadori,1975,9788804492987,"Narrativa, Romanzo",FALSE,9788854147140,ISBN-13,found-isbn-by-title,
295,Antonio Fogazzaro,Malombra,Mondadori,1974,9788804492529,"Fantasy, Gotico, Classico",FALSE,9788858802021,ISBN-13,found-isbn-by-title,
304,Franz Kafka,Il castello,Mondadori,1977,9788804135506,"Narrativa, Classico",FALSE,9788817019026,ISBN-13,found-isbn-by-title,
306,Franz Kafka,Il processo,Mondadori,1975,9788804307683,"Narrativa, Classico",FALSE,8834895908,ISBN-10,found-isbn-by-title,
309,Jaroslav Hasek,Il buon soldato sc'veik,Feltrinelli,1966,-,"Romanzo Storico, Satira",FALSE,880780526X,ISBN-10,found-isbn-by-title,
316,James Joyce,Ulisse,Mondadori,1973,9788804000392,"Narrativa, Classico",FALSE,9788858665442,ISBN-13,found-isbn-by-title,
326,Gian Luigi Rondi,7 domande a 49 registi,SEI,1975,9788805055372,Saggistica,FALSE,9788805055372,invalid,not-found (No valid ISBN found in title results),
328,Luigi Pirandello,I vecchi e i giovani,Mondadori,1967,-,Romanzo Storico,FALSE,8817050741,ISBN-10,found-isbn-by-title,
346,Beppe Fenoglio,La malora,Einaudi,1968,-,"Narrativa, Romanzo",FALSE,9788858409053,ISBN-13,found-isbn-by-title,
349,Raffaello Brignetti,Il gabbiano azzurro,Mondadori,1973,9788804107102,"Narrativa, Romanzo",FALSE,880632201X,ISBN-10,found-isbn-by-title,
351,Cesare Pavese,Feria d'agosto,Mondadori,1971,9788804092267,"Narrativa, Saggistica, Racconti",FALSE,9788804092267,invalid,not-found (No valid ISBN found in title results),
252,AA. VV.,Diario del Che in Bolivia,Feltrinelli,1968,-,"Biografia, Memorie",FALSE,8807830019,ISBN-10,found-isbn-by-title,
352,Antonio Fogazzaro,Piccolo mondo antico,Mondadori,1970,9788804492574,Romanzo Storico,FALSE,1974132838,ISBN-10,found-isbn-by-title,
354,Emilio Lussu,Un anno sull'altipiano,Einaudi,1960,-,"Romanzo Storico, Biografia, Memorie",FALSE,8876910883,ISBN-10,found-isbn-by-title,
361,Giorgio Bassani,Il giardino dei Finzi-Contini,Einaudi,1962,-,Romanzo Storico,FALSE,9788858806326,ISBN-13,found-isbn-by-title,
362,Apollonio,L'uomo nel 2000,Rizzoli,1968,-,Saggistica,FALSE,8809206452,ISBN-10,found-isbn-by-title,
369,Leonardo Sciascia,La scomparsa di Majorana,Einaudi,1975,9788806437368,"Saggistica, Biografia, Memorie",FALSE,9788845972386,ISBN-13,found-isbn-by-title,
373,Giovanni Verga,Tutte le novelle (due volumi),Mondadori,1970,9788804000373,"Narrativa, Racconti",FALSE,9788858656785,ISBN-13,found-isbn-by-title,
374,Giovanni Verga,Tutte le novelle (due volumi),Mondadori,1970,9788804000373,"Narrativa, Racconti",FALSE,9788858656785,ISBN-13,found-isbn-by-title,
375,Cesare Pavese,La casa in collina,Einaudi,1967,-,Romanzo Storico,FALSE,9788822753366,ISBN-13,found-isbn-by-title,
378,Giovanni Verga,Mastro-Don Gesualdo,Mondadori,1966,-,"Narrativa, Classico",FALSE,9791041965632,ISBN-13,found-isbn-by-title,
379,Joseph Conrad,Racconti di mare e di costa,Mondadori,1971,9788804492727,"Narrativa, Racconti, Avventura",FALSE,9788858417928,ISBN-13,found-isbn-by-title,
382,Giuseppe Tomasi di Lampedusa,Opere,Feltrinelli,1974,9788807804476,"Narrativa, Racconti",FALSE,9788807804476,invalid,not-found (No valid ISBN found in title results),
386,Luigi Pirandello,Il fu Mattia Pascal,Mondadori,2000,9788804492581,"Narrativa, Classico",FALSE,9791041968404,ISBN-13,found-isbn-by-title,
390,Emilio Lussu,Marcia su Roma e dintorni,Einaudi,1974,9788806037650,"Saggistica, Storia",FALSE,9788858413302,ISBN-13,found-isbn-by-title,
397,Franz Kafka,La metamorfosi,Garzanti,1976,9788811306016,"Narrativa, Racconti",FALSE,9788862774468,ISBN-13,found-isbn-by-title,ISBN not found in the database
400,Ignazio Silone,Il segreto di Luca,Mondadori,2000,9788804492741,"Narrativa, Romanzo",FALSE,9788804492741,invalid,not-found (No valid ISBN found in title results),
409,Thomas Mann,"Tonio Kroger, La morte a Venezia...",Garzanti,1982,9788811580556,"Narrativa, Racconti",FALSE,9788852031496,ISBN-13,found-isbn-by-title,
411,Oreste del Buono,La stampa italiana sotto il fascismo,Feltrinelli,1971,9788807222535,"Saggistica, Storia",FALSE,9788807222535,ISBN-13,not-found (No valid ISBN found in title results),ISBN not found in the database
413,Carlo Levi,Le parole sono pietre,Einaudi,1980,9788806502264,"Saggistica, Biografia, Memorie",FALSE,883193371X,ISBN-10,found-isbn-by-title,
414,Renata Viganò,L'Agnese va a morire,Einaudi,1982,9788806034987,Romanzo Storico,FALSE,8806174843,ISBN-10,found-isbn-by-title,
416,Ernest Hemingway,Fiesta,Einaudi,1981,9788806047703,"Narrativa, Classico",FALSE,8855280120,ISBN-10,found-isbn-by-title,
418,Robert Louis Stevenson,"Romanzi, racconti e saggi",Mondadori,-,9788804125306,"Narrativa, Racconti, Saggistica",FALSE,8804560215,ISBN-10,found-isbn-by-title,
424,Mario Rigoni Stern,Il bosco degli urogalli,Einaudi,1974,9788806031269,"Narrativa, Racconti",FALSE,9788858410189,ISBN-13,found-isbn-by-title,
A1627,Elio Vittorini,Uomini e no,Mondadori,1973,9788804000095,Romanzo Storico,FALSE,9788867055067,ISBN-13,found-isbn-by-title,
435,Ernest Hemingway,I racconti di Nick Adams,Einaudi,1981,9788806518760,"Narrativa, Racconti",FALSE,9788852068010,ISBN-13,found-isbn-by-title,
438,Maria Bellonci,Rinascimento privato,Marsilio,-,-,Romanzo Storico,FALSE,9788852011788,ISBN-13,found-isbn-by-title,
449,Elio Vittorini,Uomini e no,Mondadori,1990,9788804332763,Romanzo Storico,FALSE,9788867055067,ISBN-13,corrected-isbn-by-title,Vittorio Emanuele III
451,Maria Bellonci,Segreti dei Gonzaga,Mondadori,1997,9788804415443,Romanzo Storico,FALSE,8804808810,ISBN-10,found-isbn-by-title,
452,Dacia Maraini,La lunga vita di Marianna Ucria,Rizzoli,1992,9788817664400,Romanzo Storico,FALSE,9782390802839,ISBN-13,corrected-isbn-by-title,La lunga vita di Marianna Ucrìa
454,Primo Levi,I sommersi e i salvati,Einaudi,1987,9788806599669,"Saggistica, Storia",FALSE,8868761092,ISBN-10,corrected-isbn-by-title,Dalla televisione al libro
456,Herman Melville,Moby Dick,Adelphi,1987,9788845905384,"Narrativa, Avventura, Classico",FALSE,9788898062676,ISBN-13,corrected-isbn-by-title,La mia vita nel bosco degli spiriti
457,Maria Bellonci,Rinascimento privato,Marsilio,-,-,"Romanzo Storico, Narrativa",FALSE,9788852011788,ISBN-13,found-isbn-by-title,
462,Francesca Sanvitale,Verso Paola,Einaudi,1992,9788806122172,"Narrativa, Romanzo breve",FALSE,8895806026,ISBN-10,found-isbn-by-title,
463,Francesca Sanvitale,Verso Paola,Einaudi,1992,9788806122172,"Narrativa, Romanzo breve",FALSE,8895806026,ISBN-10,found-isbn-by-title,
464,Marco Lodoli,I fannulloni,Einaudi,1990,9788806118434,"Romanzo, Esistenziale",FALSE,8828605251,ISBN-10,found-isbn-by-title,
465,Marco Lodoli,I fannulloni,Einaudi,1990,9788806118434,"Romanzo, Esistenziale",FALSE,8828605251,ISBN-10,found-isbn-by-title,
466,Cesare Pavese,La luna e i falò,Einaudi,1950,-,"Narrativa, Classici",FALSE,9782390802648,ISBN-13,found-isbn-by-title,
467,Natalia Ginzburg,La strada che va in città,Einaudi,1975,9788806412364,"Classico, Formazione",FALSE,9788806412364,ISBN-13,ok,La strada che va in città
469,Giuseppe Berto,Colloqui con il cane,Marsilio,1986,9788831749014,"Narrativa, Racconti",FALSE,9788858657195,ISBN-13,found-isbn-by-title,
470,Marco Polo,Il Milione,Einaudi,1982,9788806053728,"Saggistica, Storia, Biografia, Testimonianze",FALSE,9791370191733,ISBN-13,found-isbn-by-title,
489,Vasco Pratolini,Le ragazze di Sanfrediano,Mondadori,1992,9788804505038,"Neorealismo, Classico, Corale",FALSE,1243819103,ISBN-10,found-isbn-by-title,
492,Franz Kafka,Lettera al padre,Feltrinelli,1992,9788807820191,"Biografia, Diari",FALSE,8818038427,ISBN-10,found-isbn-by-title,
496,AA. VV.,Diario del Che in Bolivia,Feltrinelli,1968,-,"Biografia, Diari, Testimonianze",FALSE,8807830019,ISBN-10,found-isbn-by-title,
499,Domenico Starnone,Segni d'oro,Feltrinelli,1992,9788807811517,"Romanzo, Satira",FALSE,8888753168,ISBN-10,corrected-isbn-by-title,Segni d'oro
502,Carlo Cassola,Fausto e Anna,Rizzoli,1992,9788817110198,"Romanzo Storico, Resistenza, Narrativa",FALSE,9788852029493,ISBN-13,found-isbn-by-title,ISBN not found in the database
503,Aldo Palazzeschi,Le sorelle Materassi,Mondadori,1990,9788804332306,"Narrativa, Classici",FALSE,8804701579,ISBN-10,found-isbn-by-title,
507,William Shakespeare,Amleto,Feltrinelli,1990,9788807820069,"Poesia, Teatro",FALSE,9788854133549,ISBN-13,corrected-isbn-by-title,Edipo re
511,Johnny Hart,L'antichissimo mondo di B.C.,Mondadori,1965,-,"Fumetti, Graphic Novel",FALSE,8809062035,ISBN-10,found-isbn-by-title,
516,Johnny Hart,B.C. in 24 lezioni,Mondadori,1972,-,"Fumetti, Graphic Novel",FALSE,,invalid,not-found (No valid ISBN found in title results),
519,Clara Sereni,Il gioco dei regni,Giunti,1993,9788809202819,"Romanzo Storico, Biografia, Testimonianze",FALSE,9788809857537,ISBN-13,found-isbn-by-title,
520,Clara Sereni,Il gioco dei regni,Giunti,1993,9788809202819,"Romanzo Storico, Biografia, Testimonianze",FALSE,9788809857537,ISBN-13,found-isbn-by-title,
521,Rosetta Loy,Le strade di polvere,Einaudi,1987,9788806599720,"Romanzo Storico, Narrativa",FALSE,9788806599720,ISBN-13,not-found (No valid ISBN found in title results),ISBN not found in the database
A1556,Joseph Stiglitz,La globalizzazione che funziona,Einaudi,2006,9788806190743,"Saggistica, Politica, Scienze",FALSE,9788806190743,ISBN-13,ok,La globalizzazione che funziona
522,Rosetta Loy,Le strade di polvere,Einaudi,1987,9788806599720,"Romanzo Storico, Narrativa",FALSE,9788806599720,ISBN-13,not-found (No valid ISBN found in title results),ISBN not found in the database
525,Edoardo Boncinelli,Le forme della vita,Einaudi,2006,9788806176540,"Saggistica, Scienze",FALSE,8806182900,ISBN-10,found-isbn-by-title,
523,Marx - Engels,Manifesto del Partito Comunista,Einaudi,1998,9788806149490,"Saggistica, Filosofia, Politica",FALSE,9788858830369,ISBN-13,found-isbn-by-title,
524,Michel Vovelle,La Rivoluzione francese...,Einaudi,2007,9788806187799,"Saggistica, Storia",FALSE,9788858142066,ISBN-13,found-isbn-by-title,
529,Dacia Maraini,La lunga vita di Marianna Ucria,Rizzoli,1993,9788817664400,"Romanzo Storico, Narrativa",FALSE,9782390802839,ISBN-13,corrected-isbn-by-title,La lunga vita di Marianna Ucrìa
530,Dacia Maraini,La lunga vita di Marianna Ucria,Rizzoli,1993,9788817664400,"Romanzo Storico, Narrativa",FALSE,9782390802839,ISBN-13,corrected-isbn-by-title,La lunga vita di Marianna Ucrìa
534,Luigi Pirandello,I vecchi e i giovani,Garzanti,1993,9788811364583,"Romanzo Storico, Narrativa",FALSE,8817050741,ISBN-10,found-isbn-by-title,
539,Marco Paolini,Il sergente,Einaudi,2008,9788806191429,"Poesia, Teatro, Romanzo Storico",FALSE,9788806191429,ISBN-13,ok,Il sergente
541,Ignazio Silone,Fontamara,Mondadori,1997,9788804423850,"Narrativa, Classici",FALSE,0719006627,ISBN-10,found-isbn-by-title,ISBN not found in the database
542,James Kakalios,La fisica dei supereroi,Einaudi,2005,9788806173211,"Saggistica, Scienze",FALSE,9788835720157,ISBN-13,found-isbn-by-title,
543,Giuseppe Tomasi di Lampedusa,Il Gattopardo,Feltrinelli,1993,9788807810286,"Romanzo Storico, Classici",FALSE,8807013088,ISBN-10,found-isbn-by-title,
546,Eileen Power,Vita nel Medioevo,Einaudi,1999,9788806152339,"Saggistica, Storia, Testimonianze",FALSE,9788858413807,ISBN-13,found-isbn-by-title,
A1609,Bertolt Brecht,Vita di Galileo,Einaudi,1963,9788806062965,"Poesia, Teatro",FALSE,9788806062965,ISBN-13,ok,Vita di Galileo
547,Lev Tolstoj,Sonata a Kreutzer,Feltrinelli,1991,9788807820153,"Narrativa, Romanzo breve, Classici",FALSE,9788811134817,ISBN-13,found-isbn-by-title,
548,Niccolò Machiavelli,Il Pincipe,Feltrinelli,1992,9788807820131,"Saggistica, Filosofia, Storia, Politica",FALSE,9788868432638,ISBN-13,found-isbn-by-title,
550,Oscar Wilde,De profundis,Feltrinelli,1992,9788807820467,"Biografia, Diari, Testimonianze",FALSE,9788858615836,ISBN-13,found-isbn-by-title,
552,Italo Svevo,Senilità,Feltrinelli,1991,9788807811696,"Narrativa, Classici",FALSE,9786558947066,ISBN-13,found-isbn-by-title,
570,Charles M. Schulz,Un Natale di Charlie Brown,Bompiani,1966,-,"Fumetti, Graphic Novel, Ragazzi",FALSE,8871338103,ISBN-10,found-isbn-by-title,
587,Pier Paolo Pasolini,Ragazzi di vita,Garzanti,1992,9788811666496,"Narrativa, Ragazzi, Formazione",FALSE,9788811020578,ISBN-13,found-isbn-by-title,
589,Elsa Morante,L'isola di Arturo,Einaudi,1957,-,"Narrativa, Ragazzi, Formazione",FALSE,,invalid,not-found (No valid ISBN found in title results),
591,Natalia Ginzburg,Le voci della sera,Einaudi,1963,-,"Narrativa, Romanzo breve",FALSE,0719008573,ISBN-10,found-isbn-by-title,
594,Carlo Cassola,La ragazza di Bube,Rizzoli,1973,9788817100344,"Narrativa, Romanzo Storico",FALSE,9788817100344,invalid,not-found (No valid ISBN found in title results),
601,Carlo Emilio Gadda,Quel pasticciaccio brutto...,Garzanti,1991,9788811661122,"Giallo, Thriller, Narrativa",FALSE,8899545626,ISBN-10,corrected-isbn-by-title,Dolce come il cioccolato
602,James Joyce,Gente di Dublino,La Nuova Italia,1982,9788822100061,"Narrativa, Racconti, Classici",FALSE,9788858623916,ISBN-13,corrected-isbn-by-title,Statuto di Deruta in volgare dell'anno 1465
610,Massimo D'Azeglio,Ettore Fieramosca,Fabbri Editori,1985,9788845023926,"Romanzo Storico, Narrativa",FALSE,9788858647370,ISBN-13,found-isbn-by-title,
617,Miguel de Cervantes,Don Chisciotte della Mancia,Rizzoli,1993,9788817169127,"Narrativa, Classici",FALSE,9788858618110,ISBN-13,corrected-isbn-by-title,Le tre dracme
24,Rondolino,Dizionario del cinema italiano 1945-1969,Einaudi,1969,-,"Saggistica, Manuali",FALSE,887742429X,ISBN-10,found-isbn-by-title,
618,Miguel de Cervantes,Don Chisciotte della Mancia,Rizzoli,1993,9788817169127,"Narrativa, Classici",FALSE,9788858618110,ISBN-13,corrected-isbn-by-title,Le tre dracme
619,Miguel de Cervantes,Don Chisciotte della Mancia,Rizzoli,1993,9788817169127,"Narrativa, Classici",FALSE,9788858618110,ISBN-13,corrected-isbn-by-title,Le tre dracme
620,Miguel de Cervantes,Don Chisciotte della Mancia,Rizzoli,1993,9788817169127,"Narrativa, Classici",FALSE,9788858618110,ISBN-13,corrected-isbn-by-title,Le tre dracme
623,Walter Scott,Ivanohe,Garzanti,1989,9788811519785,"Romanzo Storico, Narrativa",FALSE,8869265250,ISBN-10,found-isbn-by-title,
624,Walter Scott,Ivanohe,Garzanti,1989,9788811519785,"Romanzo Storico, Narrativa",FALSE,8869265250,ISBN-10,found-isbn-by-title,
625,Walter Scott,Ivanhoe,Penguin Books,1986,9780140431431,"Lingue Straniere, Romanzo Storico",FALSE,9788858610503,ISBN-13,found-isbn-by-title,
626,Gustave Flaubert,L'education sentimentale,Folio,1965,9782070360661,"Lingue Straniere, Narrativa",FALSE,9782070360661,invalid,not-found (No valid ISBN found in title results),
628,Sibilla Aleramo,Una donna,Feltrinelli,1992,9788807804472,"Narrativa, Biografia, Testimonianze",FALSE,8596547478942,ISBN-13,found-isbn-by-title,ISBN not found in the database
629,Charles Darwin,L'origine della specie,Einaudi,2009,9788806196234,"Saggistica, Scienze",FALSE,9788858600566,ISBN-13,found-isbn-by-title,
636,Italo Svevo,La coscienza di Zeno,Mondadori,1987,9788842430031,"Narrativa, Classici, Biografia, Diari",FALSE,8876920080,ISBN-10,found-isbn-by-title,
637,Alberto Moravia,Gli indifferenti,Bompiani,1995,9788845213601,"Narrativa, Classici",FALSE,8845259633,ISBN-10,corrected-isbn-by-title,Umberto II
638,Alberto Moravia,Gli indifferenti,Bompiani,1995,9788845213601,"Narrativa, Classici",FALSE,8845259633,ISBN-10,corrected-isbn-by-title,Umberto II
639,Hermann Hesse,Demian,Mondadori,1993,9788804374469,"Narrativa, Ragazzi, Formazione",FALSE,8871981634,ISBN-10,found-isbn-by-title,
640,Hermann Hesse,Gertrud,Mondadori,1980,9788804179374,"Classico, Psicologico, Musicale",FALSE,8840368337,ISBN-10,found-isbn-by-title,
641,Hermann Hesse,Racconti,Mondadori,2001,9788804493037,"Narrativa, Racconti",FALSE,9788804493037,ISBN-13,ok,Sessanta racconti
642,Hermann Hesse,Sotto la ruota,Mondadori,1999,9788804467380,"Narrativa, Ragazzi, Formazione",FALSE,9783989883987,ISBN-13,corrected-isbn-by-title,Francia
643,Franz Kafka,Il messaggio dell'imperatore,Adelphi,1994,9788845904325,"Narrativa, Racconti",FALSE,8834865332,ISBN-10,corrected-isbn-by-title,Pensieri diversi
A1615,Samuel Beckett,Aspettando Godot,Einaudi,1969,-,"Poesia, Teatro",FALSE,9791222307732,ISBN-13,found-isbn-by-title,
644,J. W. Goethe,Favola,Adelphi,1990,9788845907876,"Narrativa, Racconti",FALSE,9788854133495,ISBN-13,corrected-isbn-by-title,Incontri con Anna Achmatova (1938-1941)
645,Michele Serra,Il nuovo che avanza,Feltrinelli,1997,9788807811739,"Narrativa, Racconti, Attualità",FALSE,9788807811739,ISBN-13,ok,Il nuovo che avanza
647,Hermann Hesse,Leggende e fiabe,Mondadori,1999,9788804468691,"Ragazzi, Fiabe, Narrativa, Racconti",FALSE,9788852028694,ISBN-13,corrected-isbn-by-title,Compañero
699,Dario Fo,Teatro comico,Garzanti,1962,-,"Poesia, Teatro",FALSE,,invalid,not-found (No valid ISBN found in title results),
771,Luciano De Maria,Marinetti e il Futurismo,-,-,-,"Saggistica, Storia, Filosofia",FALSE,,invalid,not-found (No valid ISBN found in title results),
801,Henry James,The portrait of a lady,Oxford University Press,1981,9780192815159,"Lingue Straniere, Narrativa",FALSE,1976482062,ISBN-10,found-isbn-by-title,
802,Nathaniel Hawthorne,The Scarlet Letter,Oxford University Press,1990,9780192827879,"Lingue Straniere, Narrativa",FALSE,9780199537808,ISBN-13,found-isbn-by-title,
